;;;;;
Date;Apple;Paypal;BlackRock;Ford;American Airlines
2016-01-04;24.364536;34.750000;292.747284;10.638138;39.095455
2016-01-05;23.753977;34.310001;293.503082;10.447763;38.722763
2016-01-06;23.289116;33.980000;290.163483;9.983250;39.401257
2016-01-07;22.306208;33.130001;277.481567;9.671035;38.655853
2016-01-08;22.424154;32.689999;270.494568;9.549194;38.579407
2016-01-11;22.787258;33.040001;270.969147;9.724339;39.257915
2016-01-12;23.117975;33.080002;275.600769;9.785259;40.137115
2016-01-13;22.523605;32.119999;267.708618;9.290285;38.321396
2016-01-14;23.016216;32.869999;272.445679;9.282670;38.751427
2016-01-15;22.463472;32.310001;260.651428;9.115138;37.040825
2016-01-19;22.354780;32.200001;258.384033;9.099909;37.136383
2016-01-20;22.384842;31.200001;256.626190;9.061834;37.327518
2016-01-21;22.271521;31.200001;254.780716;9.145600;38.025139
2016-01-22;23.455633;31.690001;264.149292;9.244596;38.378731
2016-01-25;22.997717;31.469999;254.622421;9.122755;37.155502
2016-01-26;23.124914;31.969999;263.006744;9.335974;37.881786
2016-01-27;21.605453;31.590000;265.520264;9.328103;37.929569
2016-01-28;21.760410;34.240002;262.927643;9.217897;36.448322
2016-01-29;22.512041;36.139999;276.189667;9.398948;37.260632
2016-02-01;22.301582;37.080002;274.423004;9.501283;37.633320
2016-02-02;21.850603;36.830002;264.720520;9.060461;35.387558
2016-02-03;22.283085;37.009998;267.225220;9.021104;35.846268
2016-02-04;22.462126;37.169998;275.697418;9.076204;36.515217
2016-02-05;21.862209;35.070000;270.468231;9.013232;35.119984
2016-02-08;22.092409;33.610001;257.909424;9.123435;34.065891
2016-02-09;22.087757;32.700001;258.849823;8.934513;34.679176
2016-02-10;21.920340;32.900002;262.391510;8.926642;35.570347
2016-02-11;21.787796;33.520000;258.568481;8.792821;34.966640
2016-02-12;21.855232;34.299999;269.633392;9.091947;36.241119
2016-02-16;22.471428;35.459999;276.374176;9.343845;36.998150
2016-02-17;22.815565;36.360001;281.128815;9.658719;37.697681
2016-02-18;22.383070;36.310001;277.692413;9.650846;37.889324
2016-02-19;22.331917;35.759998;276.216003;9.524899;38.100147
2016-02-22;22.527231;36.000000;278.114258;9.887002;39.135056
2016-02-23;22.018002;35.480000;272.322601;9.776794;38.694263
2016-02-24;22.345863;36.470001;270.670410;9.509153;38.962559
2016-02-25;22.499331;36.740002;275.627167;9.753181;39.633343
2016-02-26;22.534208;37.490002;275.890747;9.816155;39.163799
2016-02-29;22.483057;38.139999;274.168243;9.847643;39.288372
2016-03-01;23.375963;39.250000;283.492859;10.304208;40.083725
2016-03-02;23.427116;39.160000;287.149017;10.406543;39.853752
2016-03-03;23.601511;39.020000;285.998383;10.658441;40.131638
2016-03-04;23.952627;39.040001;286.547119;10.697801;39.892078
2016-03-07;23.687551;38.980000;289.175720;10.721416;40.371197
2016-03-08;23.492224;38.160000;283.573273;10.414413;39.067982
2016-03-09;23.513155;38.570000;290.574158;10.382925;39.911240
2016-03-10;23.524775;38.490002;287.635742;10.351439;39.892078
2016-03-11;23.778234;39.490002;300.610748;10.461644;40.697014
2016-03-14;23.838688;39.380001;298.991058;10.445899;40.811993
2016-03-15;24.317701;39.270000;295.725159;10.414413;40.352039
2016-03-16;24.640911;39.840000;295.672028;10.626953;40.543682
2016-03-17;24.601379;39.930000;302.637512;10.603337;40.342449
2016-03-18;24.629284;39.410000;303.186249;10.737159;41.626507
2016-03-21;24.626959;41.139999;302.672974;10.752901;41.655258
2016-03-22;24.815302;41.320000;301.115204;10.697801;40.974892
2016-03-23;24.678110;40.520000;300.239105;10.438031;40.169971
2016-03-24;24.571148;38.919998;295.857971;10.280594;38.809242
2016-03-28;24.459534;38.740002;298.185699;10.304208;39.202126
2016-03-29;25.038527;39.529999;300.840881;10.390799;39.623764
2016-03-30;25.475679;39.040001;302.132996;10.508875;39.652512
2016-03-31;25.343138;38.599998;301.425018;10.626953;39.297958
2016-04-01;25.575666;39.400002;303.159760;10.312080;37.870159
2016-04-04;25.838421;38.790001;299.610626;10.075926;37.726421
2016-04-05;25.533810;38.549999;296.318176;10.052311;37.304790
2016-04-06;25.801216;39.160000;298.442322;10.091670;37.276047
2016-04-07;25.238501;38.279999;290.627258;9.855514;36.758587
2016-04-08;25.266407;38.410000;293.485931;9.879128;36.892742
2016-04-11;25.350115;38.060001;294.689636;9.965721;37.113148
2016-04-12;25.680305;37.799999;300.309784;10.083799;37.553940
2016-04-13;26.052345;38.790001;308.257660;10.280594;38.272629
2016-04-14;26.066298;38.639999;314.116730;10.304208;39.451279
2016-04-15;25.543112;38.580002;316.621490;10.186131;39.202126
2016-04-18;24.992023;39.639999;316.851624;10.430157;39.211716
2016-04-19;24.859484;39.240002;322.746094;10.579721;39.614185
2016-04-20;24.910643;40.080002;324.746277;10.737159;39.537510
2016-04-21;24.640911;40.099998;322.241608;10.745030;38.339710
2016-04-22;24.573479;40.310001;323.463013;10.713542;36.614849
2016-04-25;24.433960;39.820000;321.860992;10.689926;35.455364
2016-04-26;24.264212;39.730000;323.896606;10.823749;35.378708
2016-04-27;22.745811;40.009998;325.233154;10.871499;35.177475
2016-04-28;22.050558;40.070000;317.586151;11.213721;34.468365
2016-04-29;21.797100;39.180000;315.373505;10.791914;33.241791
2016-05-02;21.773848;39.020000;319.949249;10.839666;33.088032
2016-05-03;22.131937;38.360001;314.807098;10.688452;33.232189
2016-05-04;21.901741;38.310001;311.691681;10.592950;31.915586
2016-05-05;21.812840;38.950001;311.612061;10.600907;31.531174
2016-05-06;21.691189;39.480000;315.090302;10.696409;31.742601
2016-05-09;21.707569;39.619999;314.205261;10.600907;31.656111
2016-05-10;21.854948;40.110001;318.781067;10.736203;32.453758
2016-05-11;21.642059;39.709999;313.151947;10.600907;31.579233
2016-05-12;21.134403;39.509998;314.727478;10.624782;30.108864
2016-05-13;21.176514;39.480000;307.372559;10.521320;30.281847
2016-05-16;21.962561;39.299999;311.390717;10.600907;30.868067
2016-05-17;21.871321;39.064999;308.726685;10.457650;31.367804
2016-05-18;22.121643;38.980000;312.859985;10.473568;31.338974
2016-05-19;22.037428;37.650002;310.275543;10.417858;30.896898
2016-05-20;22.276043;37.529999;313.320160;10.497443;30.762354
2016-05-23;22.559116;38.070000;313.222809;10.449692;30.493271
2016-05-24;22.903015;38.919998;319.666046;10.577031;30.896898
2016-05-25;23.305397;38.759998;322.241608;10.760079;30.916122
2016-05-26;23.490213;38.070000;321.365387;10.712329;30.281847
2016-05-27;23.476171;38.090000;323.126617;10.704370;30.416388
2016-05-31;23.361542;37.790001;322.029175;10.736203;30.666256
2016-06-01;23.034023;38.310001;322.684143;10.433773;30.704693
2016-06-02;22.860905;38.560001;321.624237;10.513361;30.435608
2016-06-03;22.907692;38.330002;320.074493;10.378063;29.609127
2016-06-06;23.073790;38.099998;322.470367;10.489487;30.041590
2016-06-07;23.167370;37.570000;319.798401;10.648657;31.098719
2016-06-08;23.146317;37.549999;320.947327;10.632741;31.242867
2016-06-09;23.312412;37.130001;318.818695;10.553153;32.098186
2016-06-10;23.120579;36.770000;309.030487;10.425817;31.848307
2016-06-13;22.772001;36.540001;306.910614;10.330312;30.560539
